Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
3215,0,2,,0,Field Svcs,1,Full-Time,0,5,6.62,4E,0.91,0.87,75250,46134.4,0.63,8,1,1,1,33.89,3,0,9,4,0.44
3375,0,2,,0,Marketing,1,Full-Time,0,3,5.6,3E,2.1,0.82,63270,37689.6,0.68,8,0,1,1,29.65,1,0,2,2,1
2511,0,2,,0,Finance,1,Full-Time,0,4,14.38,4E,1.03,1.12,96510,74920,0.29,7,0,0,1,40.17,1,0,3,2,0.67
2862,0,2,,0,Field Svcs,0,Full-Time,0,5,9.34,6H,0.8,1.01,74131.2,49400,0.5,7,0,1,1,41.7,1,0,3,2,0.67
3077,0,2,,0,Field Svcs,0,Full-Time,0,4,7.75,5H,0.87,0.97,65374.4,46508.8,0.41,7,0,1,1,35.76,1,0,8,1,0.13
3275,0,2,,0,Net Svcs,1,Full-Time,0,4,6.22,2E,0.15,1,70000,49400,0.42,7,0,1,1,55.77,0,0,2,2,1
3675,0,2,,0,Finance,1,Full-Time,0,3,4.03,2E,2.79,0.96,62290,33000,0.89,7,0,1,1,24.93,0,0,5,3,0.6
3755,0,2,,0,Field Svcs,0,Full-Time,0,4,3.67,5H,0.84,0.83,55848,38334.4,0.46,7,0,1,1,45.94,1,0,2,1,0.5
4103,0,2,,0,Field Svcs,1,Full-Time,0,3,2.87,4E,0.76,0.82,71070,47840,0.49,7,0,1,1,35.12,3,0,3,2,0.67
4153,0,2,,0,Field Svcs,0,Full-Time,0,3,2.77,5H,0.87,0.82,54932.8,33924.8,0.62,7,0,1,1,28.93,2,0,4,1,0.25
4165,0,2,,0,Field Svcs,0,Full-Time,0,4,2.75,5H,0.53,0.83,55848,33924.8,0.65,7,0,1,1,34.51,2,0,2,1,0.5
4184,0,2,,0,Net Svcs,1,Full-Time,0,4,2.71,2E,0.68,0.92,61070,44761.6,0.36,7,0,1,1,37,1,0,5,2,0.4
4352,0,2,,0,Field Svcs,0,Full-Time,0,3,2.48,5H,0.87,0.88,59072,45760,0.29,7,0,1,1,54.91,1,0,6,1,0.17
420,0,2,,0,CCO,0,Full-Time,0,3,1.69,1E(N),0.15,0.82,46508.8,33696,0.38,6,0,1,1,31.03,3,0,5,4,0.8
