Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
1,1,0,Retirement,0,HR,1,Full-Time,0,3,42.26,1J,5.25,1.14,71765,69515,0.03,0,0,1,1,64.85,0,0,1,1,1
2,0,2,,0,Field Svcs,1,Full-Time,0,4,31.76,3A,6.2,1.09,107560,98030,0.1,2,0,1,1,57.77,0,0,1,1,1
3,1,0,Retirement,0,Field Svcs,0,Part-Time,0,4,41.26,4H,8.24,1.08,43725,61920.84,-0.29,3,0,1,1,63.39,0,0,1,1,1
4,0,2,,0,IT,1,Full-Time,0,3,50.92,2A,14.98,0.89,81970,75250,0.09,3,0,1,1,64.62,0,0,2,1,0.5
5,0,2,,0,Net Svcs,0,Full-Time,0,3,48.15,4H,18.01,1.13,76285,69233.8,0.1,3,0,1,1,63.14,0,0,1,1,1
6,0,2,,0,IT,1,Full-Time,0,5,41.29,5A,3.1,0.99,173025,155965,0.11,2,0,1,1,61.59,0,0,2,2,1
7,0,2,,0,Net Svcs,0,Full-Time,0,3,40.62,4H,20.86,1.1,73655,66479,0.11,3,0,1,1,61.72,0,0,1,1,1
8,0,2,,0,Net Svcs,1,Full-Time,0,4,47.78,3A,13.33,1.04,101995,92455,0.1,2,0,1,1,61.76,0,0,1,1,1
9,0,2,,0,Net Svcs,0,Full-Time,0,3,52.08,ACQ,20.86,1.27,68235,63867,0.07,2,0,1,1,71.06,0,0,1,1,1
10,0,2,,0,Net Svcs,0,Full-Time,0,4,50.81,ACQ,20.86,1.17,63465,59429.8,0.07,2,0,1,1,64.68,0,0,1,1,1
11,1,0,Retirement,0,Net Svcs,0,Part-Time,0,3,42.47,4H,14.55,1.02,41465,61329,-0.32,3,0,1,1,66.27,0,0,1,1,1
12,1,0,Retirement,0,Network Ops,0,Full-Time,0,4,34.56,D1,14.61,1.04,39570,36304.4,0.09,2,0,0,1,64.91,0,0,1,1,1
13,0,2,,0,HR,1,Full-Time,0,3,39.98,3A,20.86,1.1,108525,103625,0.05,2,0,1,1,51.96,0,0,1,1,1
14,0,2,,0,Net Svcs,0,Full-Time,0,4,48.89,3H,14.25,1.06,64950,57212.4,0.14,3,0,1,2,63.95,0,0,1,1,1
15,0,2,,0,Field Svcs,0,Full-Time,0,4,40,5H,12.91,1.12,82040,73948.8,0.11,3,0,1,1,59.79,0,0,1,1,1
16,0,2,,0,Field Svcs,0,Full-Time,0,5,35.77,4H,1.52,1.12,75655,64963.8,0.16,4,0,1,1,60.41,1,0,1,1,1
17,0,2,,0,Net Svcs,0,Full-Time,0,3,41.16,3H,20.86,1.08,65340,59703.2,0.09,3,0,1,1,63.18,0,0,1,1,1
18,1,0,Retirement,0,Net Svcs,0,Full-Time,0,4,45.5,4H,19.41,1.12,74255,70968.6,0.05,1,0,1,1,61.69,0,0,1,1,1
19,1,0,Resigned-Personal Reasons,0,Network Ops,1,Full-Time,0,4,40.58,3A,8.58,1.04,99130,95570,0.04,0,0,1,1,63.55,0,0,1,1,1
20,1,0,Retirement,0,Field Svcs,0,Full-Time,0,4,42.25,3H,19.38,1.12,67000,63921.6,0.05,1,0,1,1,66.54,0,0,1,1,1
21,1,0,Retirement,0,Network Ops,1,Full-Time,0,3,35.68,2A,18.37,0.96,85780,85780,0,0,0,1,1,65.16,0,0,1,1,1
22,0,2,,0,Network Ops,0,Part-Time,0,3,47.04,D3,6.62,1.01,46860,43221.56,0.08,3,0,0,1,56.82,0,0,1,1,1
23,0,2,,0,Net Svcs,1,Full-Time,0,3,32.18,3A,8,1.02,95195,87355,0.09,2,0,1,1,64.46,0,0,1,1,1
24,0,2,,0,Net Svcs,0,Full-Time,0,4,46.66,5H,12.79,1.18,86280,80268.8,0.07,3,0,1,1,61.33,0,0,1,1,1
25,1,0,Retirement,0,Net Svcs,0,Full-Time,0,4,41.23,3H,20.78,1.07,65465,60431.4,0.08,2,0,1,1,76.34,0,0,1,1,1
26,0,2,,0,Net Svcs,0,Full-Time,0,4,50.18,5H,20.86,1.16,85195,76126.2,0.12,3,0,1,1,50.41,0,0,1,1,1
27,0,2,,0,Net Svcs,1,Full-Time,0,3,50.29,3A,15.78,1.2,119340,110650,0.08,2,0,1,1,61.86,0,0,2,1,0.5
28,1,0,Retirement,0,Net Svcs,0,Full-Time,0,3,42.08,5H,15.32,1.12,82040,74323.2,0.1,3,0,1,1,64.04,0,0,1,1,1
29,0,2,,0,Network Ops,1,Full-Time,0,3,36.93,3A,10.45,0.96,101840,94390,0.08,2,0,1,1,61.9,0,0,1,1,1
30,1,0,Retirement,0,IT,1,Full-Time,0,4,40.04,4A,18.95,1.1,135515,127465,0.06,2,0,1,1,63.37,0,0,2,1,0.5
31,1,0,Retirement,0,IT,1,Full-Time,0,4,44.38,4A,11.88,1.12,131425,123935,0.06,1,0,1,1,62.43,0,0,1,1,1
32,0,2,,0,IT,1,Full-Time,0,3,47.71,2A,1.64,1,87495,73065,0.2,4,0,1,1,60.74,1,0,1,1,1
33,0,2,,0,Net Svcs,0,Full-Time,0,4,39.53,4H,13.25,1.19,79670,73138.8,0.09,3,0,1,1,59.86,0,0,1,1,1
34,0,2,,0,Net Svcs,0,Full-Time,0,3,36.78,4H,15.48,1.18,78600,72526.4,0.08,3,0,1,1,63.18,0,0,1,1,1
35,1,0,Retirement,0,HR,1,Part-Time,0,3,45.13,5A,19.37,0.88,109345,107465,0.02,0,0,1,1,63.1,0,0,1,1,1
